"band","range"
"n1 ","422000 – <20> – 434000"
"n2 ","386000 – <20> – 398000"
"n3 ","361000 – <20> – 376000"
"n5 ","173800 – <20> – 178800"
"n7 ","524000 – <20> – 538000"
"n8 ","185000 – <20> – 192000"
"n12 ","145800 – <20> – 149200"
"n14 ","151600 – <20> – 153600"
"n18 ","172000 – <20> – 175000"
"n20 ","158200 – <20> – 164200"
"n25 ","386000 – <20> – 399000"
"n26 ","171800 – <20> – 178800"
"n28 ","151600 – <20> – 160600"
"n29 ","143400 – <20> – 145600"
"n30 ","470000 – <20> – 472000"
"n34 ","402000 – <20> – 405000"
"n38 ","514000 – <20> – 524000"
"n39 ","376000 – <20> – 384000"
"n40 ","460000 – <20> – 480000"
"n41 ","499200 – <3> – 537999"
"n48 ","636667 – <1> – 646666"
"n50 ","286400 – <20> – 303400"
"n51 ","285400 – <20> – 286400"
"n53 ","496700 – <20> – 499000"
"n65 ","422000 – <20> – 440000"
"n66 ","422000 – <20> – 440000"
"n70 ","399000 – <20> – 404000"
"n71 ","123400 – <20> – 130400"
"n74 ","295000 – <20> – 303600"
"n75 ","286400 – <20> – 303400"
"n76 ","285400 – <20> – 286400"
"n77 ","620000 – <1> – 680000"
"n78 ","620000 – <1> – 653333"
"n79 ","693334 – <1> – 733333"
"n90","499200 – <3> – 537999"
"n91 ","285400 – <20> – 286400"
"n92 ","286400 – <20> – 303400"
"n93 ","285400 – <20> – 286400"
"n94 ","286400 – <20> – 303400"
"n257 ","2054166 – <1> – 2104165"
"n258 ","2016667 – <1> – 2070832"
"n259 ","2270832 – <1> – 2337499"
"n260 ","2229166 – <1> – 2279165"
"n261 ","2070833 – <1> – 2084999"
